"property","title","value","format"
"standardversion","Версия методических рекомендаций","http://opendata.gosmonitor.ru/standard/3.0",
"7703092752-terorg","""Перечень территориальных органов Росгидромета""","https://zhabinda.github.io/github_page_example/opendata/7703092752-terorg/meta.csv","csv"
